,Mean duration of spindles,Duration_std,condition,highpass,length of time used (min),lowpass,sampling frequency,spindle mean amplitude (RMS amplitude),spindle_RMS_amplitude_std,spindle_count,spindle density (# of spindles per minute),spindle measurement = density * amplitue
suj11_l2nap_day2_slow_spindle,0.6851470588235309,0.1938888175561198,load 2,0.0,26.767483333333335,500.0,1000.0,5.314321384067781,0.6667476172566789,68,2.540395716444517,0.22500798799825478
suj11_l5nap_day1_slow_spindle,0.6598521739130438,0.16930229599578148,load 5,0.0,27.64581666666667,500.0,1000.0,7.348550467482499,0.8695687889058473,115,4.159761362327875,0.509470271729169
suj12_l2nap_day1_slow_spindle,0.9673970588235176,0.34388952320521715,load 2,0.0,26.842483333333334,500.0,1000.0,2.0068090840238817,0.310806924962529,68,2.533297651918694,0.08473074567344674
suj12_l5nap_day2_slow_spindle,0.905295918367355,0.34096147284194755,load 5,0.0,26.78165,500.0,1000.0,0.3319872204699163,0.041928635376124075,98,3.659221892601838,0.02024691508679251
suj13_l2nap_day2_slow_spindle,0.7433706896551623,0.25015374507872384,load 2,0.0,26.751649999999998,500.0,1000.0,18.288737355314495,2.355972638584613,116,4.336181132752559,1.3217212976996942
suj13_l5nap_day1_slow_spindle,0.8566056338028165,0.2832713731123328,load 5,0.0,26.70248333333333,500.0,1000.0,9.254095576749904,1.0069778707397692,71,2.6589287263544152,0.4100996760908275
suj14_l2nap_day2_slow_spindle,0.7506666666666698,0.23298635942508225,load 2,0.0,26.72415,500.0,1000.0,0.6451116104484369,0.07870254616323594,30,1.122580138189615,0.012069824680082188
suj14_l5nap_day1_slow_spindle,0.8970615384615417,0.3618573129064137,load 5,0.0,26.77831666666667,500.0,1000.0,2.9752929395288374,0.43002539563868525,65,2.4273370432171797,0.12036731277568133
suj15_l2nap_day1_slow_spindle,0.7015862068965558,0.19631723650833238,load 2,0.0,26.710816666666666,500.0,1000.0,3.39413710514206,0.42918800709012483,58,2.171404967650434,0.12283410284986887
Suj15_l5nap_day2_slow_spindle,0.7929473684210543,0.2832661468767631,load 5,0.0,26.755816666666664,500.0,1000.0,12.6711819648744,1.9419459128035086,95,3.5506298007473767,0.7498446049195957
suj16_l2nap_day2_slow_spindle,0.7385636363636319,0.1940028411052262,load 2,0.0,26.773316666666666,500.0,1000.0,10.261321589711711,1.737343504912456,55,2.0542841473382394,0.3513278378747398
suj16_l5nap_day1_slow_spindle,0.7332903225806571,0.19338996760403135,load 5,0.0,26.766650000000002,500.0,1000.0,4.841798425905778,0.6671221489414565,31,1.1581576327257987,0.09345943005137557
suj17_l2nap_day2_slow_spindle,0.7800000000000047,0.21329473777214417,load 2,0.0,26.863316666666666,500.0,1000.0,4.52151599311099,0.6409932114403668,32,1.1912155299761322,0.08976833450048775
suj17_l5nap_day1_slow_spindle,0.7335726495726572,0.2516447385063255,load 5,0.0,26.74915,500.0,1000.0,26.61866267192866,3.603415811686163,117,4.373970761687754,1.940487537370753
suj18_l2nap_day1_slow_spindle,0.826144927536226,0.3123166415186415,load 2,0.0,26.719983333333335,500.0,1000.0,7.006146519960723,0.9763019361291043,69,2.5823369400804266,0.3015371827685084
suj18_l5nap_day2_slow_spindle,0.8470000000000004,0.37730248696061713,load 5,0.0,26.756649999999997,500.0,1000.0,7.417854308419795,1.119914956442291,25,0.9343471622942334,0.11551418538973482
suj19_l2nap_day1_slow_spindle,0.7284090909090913,0.2608029009555947,load 2,0.0,26.77081666666667,500.0,1000.0,12.185247259328776,1.6337781860222438,66,2.4653711846668855,0.5006859578531717
suj19_l5nap_day2_slow_spindle,0.9155862068965711,0.3295975378333121,load 5,0.0,26.710816666666666,500.0,1000.0,6.78186529741577,1.1476550876481941,29,1.085702483825217,0.12271813330620575
suj20_l2nap_day2_slow_spindle,0.886227848101273,0.3514245422577578,load 2,0.0,26.787483333333334,500.0,1000.0,28.4143286083053,4.372533988149771,158,5.8982771182312135,2.793259737671162
suj20_l5nap_day1_slow_spindle,0.7615576923076883,0.24709818130125497,load 5,0.0,27.09081666666667,500.0,1000.0,32.63258197428912,5.374447241881245,104,3.838939271548969,2.0879083412189914
suj21_l2nap_day1_slow_spindle,0.8367580645161252,0.2872824442995977,load 2,0.0,26.94915,500.0,1000.0,6.84267492390693,1.0460456880780957,62,2.3006291478580954,0.2623742896542993
suj21_l5nap_day2_slow_spindle,0.7218461538461364,0.3031115983027582,load 5,0.0,26.71915,500.0,1000.0,4.548274863481046,0.498520049792575,13,0.48654242369237044,0.03688214459495256
suj22_l2nap_day2_slow_spindle,0.6779687500000038,0.1603782795154086,load 2,0.0,26.810816666666664,500.0,1000.0,5.497978981066069,0.6589848060273045,32,1.1935481264091794,0.10936837519814094
suj22_l5nap_day1_slow_spindle,0.708854545454532,0.210440052005834,load 5,0.0,26.758316666666666,500.0,1000.0,11.212615583983167,1.7567004309255558,55,2.055435724344892,0.38411351057775445
suj23_l2nap_day1_slow_spindle,0.7224874999999935,0.20388548496892128,load 2,0.0,26.735816666666665,500.0,1000.0,8.893865353683797,1.1272367382273532,80,2.9922407457162645,0.44354310497011423
suj23_l5nap_day2_slow_spindle,0.7282777777777772,0.17142173709794958,load 5,0.0,26.794983333333334,500.0,1000.0,3.357036767876362,0.49324966861200653,54,2.0153026157259535,0.11275741632315722
suj25_l2nap_day1_slow_spindle,0.9017272727272625,0.27820993340543126,load 2,0.0,26.78165,500.0,1000.0,1.7263813834351278,0.2439563436318629,33,1.232186963835313,0.03545374392127895
suj25_l5nap_day2_slow_spindle,0.9168904109589128,0.3432926578512078,load 5,0.0,27.12248333333333,500.0,1000.0,2.306752049417107,0.4313118992740492,73,2.6914939573502674,0.10347682003519149
suj26_l2nap_day2_slow_spindle,0.6635238095238188,0.13651506109129777,load 2,0.0,27.17415,500.0,1000.0,1.4577901524892094,0.14190462502259635,21,0.7727932612427619,0.018776173435828655
suj26_l5nap_day1_slow_spindle,0.6672682926829238,0.17895968569957255,load 5,0.0,26.744149999999998,500.0,1000.0,2.2023337446953164,0.29306482453501836,82,3.0660910890792943,0.11254259782981572
suj27_l2nap_day2_slow_spindle,0.8201785714285741,0.2789997694309356,load 2,0.0,26.742483333333332,500.0,1000.0,7.632652080902581,1.0769619854974335,84,3.1410695466451943,0.3995781835243528
suj27_l5nap_day1_slow_spindle,0.7801202531645522,0.260613884726108,load 5,0.0,27.920816666666667,500.0,1000.0,23.558134292095634,3.5194594309506524,158,5.658860264951658,2.221869834365584
suj28_l2nap_day1_slow_spindle,0.8048039215686359,0.3347312963920671,load 2,0.0,26.79415,500.0,1000.0,5.527470996175173,0.8780172943623619,51,1.9034005557183193,0.1753498560972786
suj28_l5nap_day2_slow_spindle,0.9240289855072453,0.3717914093798648,load 5,0.0,26.86415,500.0,1000.0,28.374223719036003,4.07649533592587,69,2.5684788091192168,1.2146432057925305
suj29_l2nap_day2_slow_spindle,0.7024915254237192,0.16312015593349416,load 2,0.0,26.729983333333333,500.0,1000.0,7.323421391701352,0.9697422225305727,59,2.207259139081643,0.2694114799363136
suj29_l5nap_day1_slow_spindle,0.7197450980392212,0.17978208405737367,load 5,0.0,26.74915,500.0,1000.0,11.504093476914905,1.8225637749442372,102,3.8132052794200937,0.7311244996852363
suj30_l2nap_day1_slow_spindle,0.7897894736842382,0.27449844746523383,load 2,0.0,26.792483333333333,500.0,1000.0,3.387452092174071,0.3882215602944606,19,0.7091541222071613,0.040037093582408596
suj30_l5nap_day2_slow_spindle,0.6267826086956422,0.11228249945471289,load 5,0.0,27.293316666666666,500.0,1000.0,7.93172583995072,1.098664868395152,23,0.8426971438062677,0.11140071184634735
suj32_l2nap_day1_slow_spindle,0.7771818181818033,0.22883160491744775,load 2,0.0,26.73165,500.0,1000.0,4.756030627925419,0.6645337212609186,33,1.2344916980433307,0.09785467209689566
suj32_l5nap_day2_slow_spindle,0.7861176470587987,0.24242444244368047,load 5,0.0,27.167483333333333,500.0,1000.0,4.8644994233320595,0.5044320183410667,17,0.6257480603343826,0.05073251797746265
